Date,PeopleInvolved,PersonOfFocus,EventType,EventDescription,OrganizationsInvolved,Location,CommunicationDetails,ClassificationLevel,SourcePage
27 July (Mentioned multiple times); 26 July (Night); Document date; 28 July,Isabel A. Guillen Zelaya; Lorenzo Zelaya's wife; Mario Sosa Navarro; Carlos (second-year medical student at UNAM),,,Isabel A. Guillen Zelaya running a boarding house.; Ricardo Freiji talked with Sosa about 26 July.; Security measures by PCH to protect party members returning from Cuba.,UNAM (National Autonomous University of Mexico); Mexico City; PCH (Likely referring to a political organization),,Ricardo Freiji communicated with Sosa about 26 July.,"Classified as ""SECRET""; For file:",414
12 Dec,Guillermo Santana,,,Discreet inquiries to determine if Guillermo Santana is still present and has a fixed address.; Reference to Orlando Cubito Quintero.,Mexico City; Director (unspecified),,Mention of discreet inquiries.,"Document classified as ""SECRET""; For file:",415
,Arevalo,,,Inquiry about the relationship between an unspecified subject and Arevalo regarding anti-communism in Latin; America.,Latin America,,The document poses a question about information concerning the relationship mentioned.,For file:,416
,,,,,,,,Classification Level; SECRET; (Note; Other fields remain blank due to lack of extractable information.); For file:,417
,,,,,WH/3/Mexico; AC/WHD; CI/ICG,,,"Marked as ""SECRET""; Group 1 Excluded from automatic downgrading and declassification; For file:",418
"Reference to ""specific date.""",JOE; LINLUCK; KUPARK,,,Removal of a situation by a specific date.; Offering a choice between Linluck and Kupark.,,,,,419
27 January 1964; 10 February 1964; 12 February 1964,Oliver G. Galbond; C. Bustos; J. C. King; Lolly,,,LICOOKIE-1 granted OA on 27 January 1964.; Possible amendments to the contract for bonus payments.,WH Division; Mexico City; Station; PBRFRIX (implied entity or location),,"Dispatch to Chief of Station, WH Division.; Mention of distribution to Cal-COG, Mexico City.",Marked as 'SECRET'.; For file:,420
1935 to 1939; 1950 to 1955; 1950 to 1963; 1958 to 1963; 1949 to 1952; 1952 to 1963; 1946 to 1949,No specific names mentioned.,,,No specific events or actions described.,"Sigma Chi; Alpha Zeta; Bob Cats; American Club, Mexico, D.F.; American Chamber of Commerce; Knights of Columbus; St. Paul's Council",,No communications or relationships detailed.,No classification levels or redactions noted.; For file:,421
24 January 1960 (Korea residence date); 1957 (references mentioned); 1955 (directory date),Kenneth C. Miller; Al (Alphonso) Figco; Gregory Topoz; Anthonios (Anthony) C. Pappadopoulos; Valentine Hain aka Valentin Vasiljevich Zhan aka Van-Chin Hain; Emanuel Abraham Ustrunwen; William Hamilton Martin,,,Person of interest listed as personal reference by subject in different years.,"Chase Manhattan Bank, Tokyo, Japan; Greek Consul, Yokohama, Japan; Kanto Directory for Tokyo and Yokohama, Japan; Ponyo Company, Tokyo, Japan; French Intelligence in Shanghai, China",,Subject listed these individuals as personal references in specific years.,Some sections appear redacted or obscured.; For file:,422
,"Richard William Nolan Child; Mortimer Claggett Cooke, Junior",,,,"Claggett-Nolan Company, Incorporated, Tokyo, Japan; For file:",,,,423
5 July 67; 5 May 67; Nov 2 1970,"""Alex""; J.A. Vaselzar, Queens, New York City; ""Montreal's""; Rev Diego Madrigal, Bronx, New York City",,,1. Thru sensitive local contact station ascertained that reference calls were made.,"Queens, New York City; Bronx, New York City",,"Ref calls were made to ""Alex"" and ""Montreal's.""","Document marked as ""SECRET""; Several areas appear to be redacted or illegible.; For file:",424
"Date; April 25, 1963",Vladimir Secen; EVWUSCLE-1; OCC (Mr. John Grany); David A. Phillips,,,"Vladimir Secen in Santo Domingo on a potential purchasing mission.; Vladimir Secen told EVWUSCLE-1 in Santo Domingo to be ready with a group for an invasion of Haiti, as Secen had; money and backers and would be ready shortly.",Santo Domingo; Haiti,,Communication between Vladimir Secen and EVWUSCLE-1 about readiness and support for an event in Haiti.,"Document classified as ""SECRET"".; For file:; ```plaintext",425
12 JUN 68,"Masferrer Rojas, Rolando",,,"Subject tried to recruit Arsdlouchini, 201-351947, to work for him in Cuba.",Mention of Cuba,,,,426
03-FEB-1970; 07 MAR 68,"Pasafdezer, Orlando",,,"Involved in plotting against the government of President Duvalier in Haiti.; Indicating negotiations between ""Sunj"" and United States ""stake"" had not progressed well.",References to Haiti and Cuba.,,Information suggests communication between unspecified parties regarding negotiations.,"Marked as ""SECRET.""; For file:",427
23 February 1968; 28 February (year not specified); 29 February 1968,Rolando Masferrer; Jean Baptiste Georges; Renz Leog; Martin Casey; Atum Constanzo,,,Sentences passed on Masferrer and associates,Miami Herald,,N/A,"Document marked as ""Secret""; For file:",428
"23 February 1968; 28 February 1968; Microfilmed on March 7, 1968","Fernando Melo Fontanills, Cuban exile; Ludwig Starke; Jiminez, Costa Rican activist; Rolando",,,Fernando Melo Fontanills left San Jose for Miami and New York on 21 February 1968.; Discussed plans for revolutionary move against Duvalier.,"San Jose, Costa Rica; Miami; New York",,"Information involves Director in Managua, Port-au-Prince.; Communication regarding addresses commissioned by Ludwig Starke.","Marked as ""SECRET""; Redaction present in communication details; For file:",429
23 FEB 68,"JESSEFERRE, ROLANDO; STARKE JIMENEZ",,,Negotiating with Starke Jimenez regarding mutual support for planned revolutionary movements.,Cuban Exile,,Not specified,SECRET; For file:,430
,General Antonio Imbert Barreras.,,,"Press coverage of trial resumption is light.; Document introduced by prosecution involving General Antonio Imbert Barreras.; Document seized in a January 2, 1967 raid in the Keys.","Location; Keys (referring to ""Keys"" where the document was seized).; ""Herald"" - Media outlet mentioned.",,None specified.,"Document labeled as ""Secret.""; For file:",431
9 November; 2010-02-26; 9 November 1969,Masferrer,,,"Miami press coverage.; ""Herald"" carries story on page 16-C.",JMAVE (potential code name).,,Memo mentions priority to Director with info JMAVE.,Classified as 'SECRET'.; For file:,432
Document Date; 8 November 1967; Miami News Date; 8 November 1967,Rola ndo Masferrer; William A. Meadows; Ted Cabot; Gino Negretti; Carlos,,,Trial of Rolando Masferrer and five others for the attempted invasion of Haiti.; Federal Judge Ted Cabot ruled on a motion out of the jury's presence.; Meadows requested the court to avoid eliciting CIA connections from witnesses.,"CIA; Miami, Florida; Haiti",,Meadows communicated with the court regarding defense inquiries about CIA ties.,"Classified as ""SECRET""; Some redactions are noted within text.; For file:",433
"Miami Herald, 8 November (Year not clearly specified)",Gino Negretti; David Cabeza Coupaul; U.S. Attorney William Meadows; Judge Ted Cabot,,,"Defense maneuver in Haitian ""invasion"" trial; Attempt to link CIA to conspiracy charged in an indictment against six anti-Castroites in federal court; U.S. Attorney William Meadows countered the defense maneuver",CIA; Location reference; 601 SW 11th St.,,Mention of defense attorney comments,"Document marked as ""SECRET""; For file:",434
Late 1966; Planning of alleged Haiti invasion.,Cabeza; Runs an amusement park in Miami; severed connections with the CIA in 1964; involved in invasion plot.; Cabot; Turned down further questions; ruled out questions about CIA connections.,,,Alleged Haiti invasion planning in late 1966.; Cabeza testified about his role in the invasion plot.,CIA; Connection with Cabeza severed in 1964.; Miami; Location of Cabezas amusement park.,,Government panel rejected further questions based on lack of evidence regarding Cabeza's CIA connections.,"Document labeled as ""SECRET"".; For file:",435
25 October 1967; 6 February 1967; 9 September 2010 (CS copy),Cabeza; Masferrer; U.S. Attorney William A. Meadows,,,Cabeza is not listed as a prosecution witness in the Masferrer trial.,"Official Department of Justice; U.S. Government; Coco Plum, Marathon, Florida; New York; Atlanta; Miami",,Customs report forwarded to U.S. Attorney William A. Meadows.; Informants cite Cabeza claiming he had approval from the U.S. Government for Haitian invasion.,"Document marked as ""SECRET""; Reference numbers and some sections redacted or coded.; For file:",436
3 October 1967; September 1967; 9 October 1967; 16 October 1967,Rolando Masferrer Rojas; Gary L. Vestnikoff,,,,AMOT; CIA,,Distribution to 3 - CA/RE/COO,"Classified as ""SECRET""; For file:",437
3 Oct. 1967; September 1967; 9 July 1967; Microfilmed 18 Oct. 1967,Rolando Pasaran Rojas; Miguel Peralta,,,"The bulletin ""El Foco de Holguin"" is described as attacking the U.S. government and its departments and agencies.; Rojas and his group reportedly tried to oust the directorate of an organization but were routed.",Municipality of Holguin; New York (in context to pseudonyms),,N/A,"""SECRET"" Classification",438
[No Specific Dates Mentioned],[No Specific Names or People Mentioned],,,[No Specific Events or Actions Described],[No Specific Organizations or Locations Identified],,[No Specific Communications or Relationships Detailed],"The document is marked as ""UNCLASSIFIED"" on the form at the bottom right corner.; For file:",439
16 MAR 67,Rolando Masferrer; Mariano Sor Marn,,,"Rolando Masferrer was head of Communist shock troops at the University of Havana in the early 1940s.; Opposition from the Federation of University Students, of which Sor was Secretary General.",University of Havana; Federation of University Students,,,"Document is marked as ""SECRET.""; For file:; ```plaintext",440
Inclusive Dates; 1 Jan 1964 thru 31 Dec 1965; Date Received; 10 Aug 1978,"Masferrer; Rojas, Rolando; Reviewed by; Pat Orr",,,Material reviewed at CIA Headquarters by the House Select Committee on Assassinations staff members.,CIA Headquarters,,Document reviewed by Pat Orr,"Deletions noted as ""Third Agency Documents""; Note; No documents may be copied or removed from this file; ```; For file:",441
17 November 1964; 18 November 1964,Colonel Arcadio Masferrer,,,"Document was delivered to ""SAIRLS"" on 17 November 1964.",Not explicitly mentioned.,,"References to interactions with ""RIAN"" and ""RIMIS"".; Note stating delivery to ""SAIRLS"".","Marked as ""SECRET"".; For file:",442
Sent to Analysis; 16 Oct 70; 26 Nov 64,LFG 6267,,,[No new events or actions are discernible beyond submission to analysis.],,,[No specific communications detailed.],[No classification levels or redactions noted.]; For file:,443
18 DEC 65; 14 Dec 65,Garcia (Luis); Sima; Sifa; Perez Cavo,,,Info on individuals associated with the Cuban exile newspaper.; Financial connections with the newspaper mentioned.,Cuban exile newspaper,,Mention of contributions and financial connections to the newspaper.,"Document marked as ""Secret""; For file:",444
,ROLAND MASFERER; ERNESTO RICARDO VALERO-ARCEAU,,,Received information that ERNESTO RICARDO VALERO-ARCEAU told associates he had written articles under; pseudonym PABLO.,EL TIEMPO; FBI,,,Document marked as SECRET.; For file:,445
24 August 1965; 23 August 1965; 11 August 1965,"Henry J. Sloman; John C. Tarbell; Philip G. Elmard; Antonio Rojas Masferrer; Raul Ahango de la Noval; Leon Fernandez, Homero; Rolando Masferrer",,,Involvement in a plot to invade Haiti.,JMAVE; FBI; INS; Customs; Border Patrol; USCG; Miami; Panama City; Santo Domingo,,Source report from Antonio Rojas Masferrer and Raul Ahango de la Noval.,Secret; Group 1; Excluded from automatic downgrading and declassification.; For file:,446
"May 3, 1965; May 8, 1965",FROM; EDI/AW; TO; William H. Lee (signed as WHL/qbb and initialed YE),,,"Copy detached; Microfilmed on May 8, 1965",Document number,,Internal routing and record sheet communication involving William H. Lee and EDI/AW.,"Document marked as ""SECRET""; For file:; ```plaintext",447
28 Feb 65,Dentist Rodolfo Masferrer; Brother Rolando; Two Odyoke officials,,,Rodolfo Masferrer's office was visited by an individual identified as UOAMBER-4.; Rolando claimed in a letter that he was visited in his New York office by two Odyoke officials.; They allegedly asked Rolando if he was ready to participate in armed action against PBRUME.,New York (office location for Rolando),,A letter from Rolando to Rodolfo.,"Classified as ""SECRET""; Various sections redacted or marked.; ```; For file:",448
11 DEC 64; 201-042669,Pedro Masferrer Rojas,,,"Subject operates Eighth Force of Assault and CCF-Mandos, a group which trains at Camp Marti.",Camp Marti in the state of New Jersey,,(No information extracted),"Document marked as ""Secret""; For file:; ```plaintext",449
08 DEC 64; 04 26 69,"MASFERRER ROJAS, ROLANDO; PAUL TONSSANT",,,Comments about Paul Tonssaint's invasion plans.,USA; CUBA,,,Classified as SECRET; ```; For file:,450
18 November 1964,"Eladio Del Valle, aka ""Yito""; Rolando Masferrer Rojas; Eliseo Gomez Fernandez; Teofilo Babun; Rudolph Baboun",,,"Eladio Del Valle asked Eliseo Gomez Fernandez to use Gomez's boat to transport ""invaders"" out of the United States to; an undisclosed location at sea.; It is noted that plans for an invasion of Haiti were disrupted because the information had leaked.",Antillean Marine Shipping Corporation of Miami; Haitian Consul in Miami,,"Communication between Teofilo Babun, his cousin Rudolph Baboun, and Eliseo Gomez Fernandez regarding the; transportation of ""invaders.""",,451
17 Oct 64,"Masferrer Rojas, Rolando",,,Subject involved in amassing Haitian and Cuban exiles in Miami for training.,"USA, Florida, Miami; CIT Cuba",,Not specified,"""Secret"" classification level; For file:",452
Date; 16 October 1961,Helen Mysak; M. Corrado; Meye D. Bray; H. Bancho,,,,WH/3/ with various Units; WH/2 (Western Hemisphere); TDCS 33-315/61035-61,,Communication through telephone with M. Corrado is noted; Handling and dissemination instructions for the report,Classification; SECRET; Some sections are redacted or marked with asterisks for internal use only; For file:,453
Date of information; 15 October 1964; Distribution date; 16 October 1964; Event in Miami; 15 October 1964,Ovidio Nero; Roilan Martinez; David Quevas; Paul Toussaint,,,"David Quevas reported that Ovidio Nero, Roilan Martinez, and others arrived in Miami to recruit Cubans for an exile; group.; A plan to recruit 200 Cubans for an assault team of 150 to 200 trained men was discussed.",,,Quevas had discussions with Nero and Martinez about recruiting efforts.,"Document marked as ""Confidential""; For file:",454
,,,,,,,,"The document is labeled as ""S-E-C-R-E-T.""; For file:; ```plaintext",455
22 Sept; 24 Sept,Otto Sirgo Prieto; Frank Diaz; Eugenio Perez Comle; Toussaint; Captain Mir; Fidel Castro Ruz,,,Recruitment efforts for the Haiti operation in Miami.; Sirgo offered 25 men for actions related to Cuba.,"Antonio Maceo Brigade; Miami; Humboldt 7 apartment, Cuba; New Jersey (unidentified location)",,Communications between Miami representatives and Toussaint regarding funding and recruitment.,"Document marked as ""CONFIDENTIAL.""; ```; For file:; ```plaintext",456
,Rolando Masferrer Rojas; Toussaint,,,Group had three airplanes ready for use in an invasion.; Arms stored in Rolando Masferrer Rojas' office in New York City.; Arms cached at an unidentified location in Miami.; Use of Haiti as a base of operations against Cuba discussed if the invasion was victorious and Duvalier was removed.,FBI; Customs; I&NS; Border Patrol,,,Document marked as 'Confidential'.; ```; For file:,457
Date of report; 22 July 1964; Event dates; Between 9 and 12 July 1964,Robert S. Hunkeler; Margaret R. Nankall; Andrew K. Reuteman; UOAMBER-3; Rolando Arcadio Masferrer Rojas,,,UOAMBER-3 spoke with Rolando Arcadio Masferrer Rojas during his visit to New York City.,JMWAVE; New York City; Santo Domingo,,,"Classified as ""Confidential""; Excluded from automatic downgrading and declassification; For file:; ```plaintext",458
"25 FEB 64; 28 July (year unclear, possibly 1964)",Rolando Arcadio Masferrer Rojas; Leon Cantave,,,Involvement of Rolando Arcadio Masferrer Rojas in preparations to support Leon Cantave's second invasion attempt of; Haiti.,Dominican Republic; Haiti,,Mention of communication or reference between Rolando Arcadio Masferrer Rojas and Leon Cantave regarding an; invasion attempt.,"Document marked as ""SECRET""; Some sections may potentially be redacted or obscured.; ```; For file:",459
19 Feb 64; 200-1720-63,"Masferrer, Rolando",,,,CIT Cuba,,,"Document marked as ""SECRET""; For file:",460
First met in 1957.; Previously in charge in 1951.,Joaquin Mirabal; Alfredo Mirabal Diaz; Ramiro Valdes; Police Chief Habana,,,Joaquin Mirabal is not related to Alfredo Mirabal Diaz.; Joaquin has authority to represent Ramiro Valdes.; In charge of security office in Habana.; Past in command of police chief in Habana.,"Ministry of the Interior, La Habana Province.; Quina Avenida and Calle 14, Habana.",,,"Document marked as ""Secret"".; For file:",461
,Mrs. Albert Recio; Minister Martinez Sanchez; Licraft; Her Sister; Verge Recio; Venia Garcia,,,Mrs. Albert Recio dislikes Mirabal but doesn't want involvement.; Suggested cooperation after a phone call from Licraft.; Licraft will obtain Mrs. Recios present address.; Suggestion to interview Mrs. Recio.; Licraft will prepare a study on Mirabal.,"Gary, Indiana; New York",,Phone call from Licraft expected to influence cooperation.; Suggestion to cable name for interview purpose.,"Redacted sections noted with coded references (e.g., 05, 08).; For file:",462
131726Z SEP 77,PANEQUE,,,"Request HQS traces on Paneque.; Defer file; E2, IMPDET.","MDC activities; Mention of ""station"" files.",,,Classified as SECRET.; For file:,463
Date; 14 September 1977,E. Charles Payne,,,,LA/MCA/CNH; LA/SEC; DC/LA/COG; DC/LA/OPS,,,Classification; SECRET; For file:,464
29 Jul 1952,Gordon Barton McLendon; Robert K. Cunningham,,,1. A request for a covert security clearance for Gordon Barton McLendon is made.; 2. The request for this clearance is denied.,CIA (Central Intelligence Agency),,Communication from Robert K. Cunningham for the Security Officer at the CIA.,Not specified; ```; For file:,465
1942; Entered Navy Japanese Language School; 1943; Graduated Navy Language School; 1944; Commissioned/Assigned as Intelligence Officer; 1946; Attended Harvard Law School,"Gordon Barton McLendon; Gay Noe (Wife, daughter of James A. Noe); James A. Noe (Former Governor of Louisiana)",,,Discharged as Lt.(JG),"Address; 9300 Douglas, Dallas, Texas; Place of Birth; Atlanta, Texas (Caldwell, Oklahoma corrected to age 30); Liberty Broadcasting System; Yale University; Harvard Law School; Navy Japanese Language School, Boulder, Colorado",,"Mention of relationship; Married to Gay Noe, daughter of former governor",None; For file:,466
26 Jan 55,"McLendon, Gordon Barton",,,Not specified,"Wash-CIA-PERS-4; Oklahoma (birthplace mentioned as Texuhoma, Oklahoma); RI/AR file",,Not specified,"STC/SPB; For file:; I can't provide any details or analysis from the document as there is no image visible. If you need assistance with another; task or have more information you can share, feel free to let me know!; For file:",467
17 Sept 1965; 14 June 1965,Luis Joaquin Carriles; Alberto de Jesus Allainy Garcia,,,Request for action and status cover for the mentioned individuals. They have been assigned to the Maritime Training; Branch.,"CIA (return notation); Tri-State Engineering; Exile & Electronics Equipment Company, Inc.",,,Document marked for background use only.; For file:,468
,,,,,Aruba; Bogota; Brasilla; Buenos Aires; Caracas; Georgetown; Guatemala City; Guayaquil,,,For file:,469
Date; 22 April 1968,Richard Ober,,,Priority; NO NIGHT ACTION,,,Ref; DIRECTOR 93162,"Classification Level; SECRET; Noted as ""DESERIALIZED""; For file:",470
Document Date; 19 April 1968; James Earl Ray birth; 10 March 1928,Richard Obar; James Earl Ray,,,LNERGO has positively identified the accused assassin as James Earl Ray.,"Numerous international cities listed including Asuncion, Bangkok, Barcelona, Beirut, Berlin, Bern, Bogota, etc.",,Priority was set for night action communication to various international locations.,"Classified as ""SECRET""; For file:",471
23 April 1967,Ray (labeled Galt prior to identification); Richard Ober,,,,Missouri State Penitentiary,,,"Marked as ""SECRET""; For file:; ```plaintext",472
Date on document; 18 Apr 68,Richard Ober; Eric Starvo Galt; Alias Harvey Lowmeyer; Alias John Willard,,,"Information concerning suspected assassin of Martin Luther King, Jr.",Cities listed,,Information furnished by LNEMRO.,Classification; SECRET; ```; For file:,473
18 April; 19 April,Richard Ober,,,Reference DIR 92664 was sent to certain stations by direction of the DDP on 18 April.; Request to send attached photographs to each station that received DIR 92664.,DDP (no full name given),,Communication from CI/OP Richard Ober to certain stations.; Request directed by DDP.,,474
12-18; 12-22; 12-23,,,,,Beirut; New Delhi; Rawalpindi,,,DIR 92664; X = no contact; For file:,475
16 December 1958,,,,,From; Havana,,,"Classified as ""SECRET""; For file:",476
"October 30, 1962",Eng. Rodolfo Ibarra Perez; Eng. Sebastian J. Ravelo; Eng. Emilio Cabrio; Eng. Everardo Garcia Fernndez; Mr. Anastasio Rosendo; Mr. Manolo Rodriguez; Mr. Humberto Rodriguez; Eng. Manuel Lobella; Eng. Antonio Viedo; Eng. Jos Roberto Cional,,,Not specified,"National College of Architects, Santiago de Cuba; Vista Alegre, Santiago de Cuba; Miramar, Havana; Vedado; Marianao; University School of Architecture, Marianao",,Not specified,"Mention of ""SECRET"" classification; For file:; ```plaintext",477
24 April (year not clear); 19 June 1956; August 1961; September 1961; December 1961,Hernandez (first name not clear); Ramon; Frank Gutierrez; Aurelio Silva; Domingo Modica; General Genovevo Perez Damera,,,Subject admitted to purchasing an item in Los Angeles.; Made arrangements for something in April.; Subject arrested on 26 April (year not clear).; Subject was reportedly cooperative and willing to provide further information.,Los Angeles; American Consulate; Mexican district of Candelaria; Havana,,"Subject communicated with the consulate and is willing to provide information to the Right Directorate.; Communication with SILVA, former consular officer of the Republic of Cuba.","Document marked as ""SECRET.""; ```; For file:",478
October 1961; 24 October 1961,Andre (Acting); Manolo Ray,,,Statements of Manolo Ray; Contacts among exiles in Caracas,"England, London; Official British Service; Cuba; Caracas",,"Source from an ""Official British Service"" with connections to exiles in Caracas",Secret; NOFORN (No Foreign Nationals) continued control; For file:,479
19 June 1963,Jernay; Ray (Alias 17); Ray (Alias 18),,,Ray contacted by Jernay under Identities Alias 17 and 18 in June.; Contacts with UnRUMBLE 6 and UnRUMBLE 2 mentioned.; STA feels associating with UnRUMBLE 6 is a positive move.,Paris,,Ray is in contact via Ampost 1.; STA plans to contact Ray.,"Document marked as ""SECRET.""; Multiple redactions labeled as UnRUMBLE.; For file:",480
,Austin M. Jones,,,,,,,,481
,,,,,Europe; New York,,,Secret; For file:,482
15 August 1960,"Chief of Base, Munich; Chief of Station, Germany",,,Mention of a group operating in Bavaria,"Munich, Germany; Bavaria",,,"Document marked as ""Secret""; For file:",483
9 March 1961,J.J. Mullane; J. J. Bell,,,(Blank),WH/SECURITY,,To; JTDOVE,Secret; Some sections are redacted as indicated by portions of the text not being clearly legible or covered.; For file:,484
,,,,Son recently arrested and released.; Authorities are seeking the father.; Recommendation not to return to Cuba.; Explanation to follow in a letter. Telephone contact deemed sufficient.,Cuba,,Message from son regarding contact and instructions about Cuba.,None noted; For file:,485
"Page 3 mentions ""MADRID 1131.""",,,,,,,,"Classification marked as ""SECRET.""; Contains checkboxes for document copying",486
MAY 70,N/A,,,N/A,WH/MIA/MI (possibly referencing to MIAMI); CITE MADRID,,DIRECTOR INFO WH/MIA/MI ROME,SECRET; Some redacted areas; For file:,487
,,,,Headquarters traces on William Gaudet and Antonio Veciana mentioned.,London,,Document addressed to London.,Secret; For file:,488
Dissem by; 9/16,Antonio Carlos Veciana; Blanchi,,,Following traces Antonio Carlos Veciana,UH/MIAMI; Caracas; Bogota; Alpha 66 Group,,"TO; UH/MIAMI, Caracas, Bogota","Document marked as ""SECRET""; For file:; I can't extract information from the image or document you uploaded. If you have any text information or questions, feel; free to share them, and I'll be happy to help.; For file:",489
9 August 1966,Jerry O. Medlish,,,A letter was forwarded for handwriting analysis.,WOACRE,,The results were forwarded for information purposes.,None indicated.; For file:,490
Date; 31/7/66; Activity Date; Aug 64 - present,Alastair Wicks; B.A. Metcalf,,,,Congo; Room 7C-18,,"Request submitted to Chief, FID by B.A. Metcalf","Document marked as ""Secret""; For file:",491
28 July 66 (Creation Date); Reviewed by you 27 Jul 66,B. Metcalf,,,,F.I/D (organization mentioned in the context of biographic files),,,Classification; Secret; For file:,492
Document date; 14/Oct/63; Reference date; 26/Sept/63,Originator,,,,"To; Rome; SAS/EOB (Unit); Info copied to; DDP, CI, CI/OPS, CI/OA, FI, WE 4, RF, VR",,,Classification; Secret; Note; Specific redactions are not detailed but implied by document markings.; For file:,493
Document creation date; 13 June 1983; Born; 29 Sept 1902,Karin Espinosa; Miguel Angel Espinosa Bravo,,,"No traces of Karin Espinosa; Many traces of her husband, Miguel Angel Espinosa Bravo",Havana; Norway,,None noted,Classified as Routine (with visible classification stamps); For file:,494
,COS LUXE; QJWIN,,,QJWIN can conduct spotting in Corsican circles when requested.,,,,The document contains redacted sections.; For file:,495
,,,,,,,,"Mentions ""National Defense"" and refers to applicable sections of the Espionage Laws (18 U.S.C., sections 793 and 794).; For file:",496
3 Nov 61,Not extractable,,,Not extractable,Santiago; Montevideo; JM/WAVE; Rio de Janeiro,,Cite; Montevideo 5282; Reference; Santiago 5331,Classified Message; Secret; For file:,497
3 Nov 61; 021952Z; [16-20]; [16-23]; [16-24],Not extractable,,,,Santiago; Montevideo; JM/WAVE; Rio de Janeiro,,Cite; Montevideo 5282; Reference; Santiago 5331,,498
3 Nov 61; 021952Z; [16-20]; [16-23]; [16-24],Not extractable,,,Not extractable,Santiago; Montevideo; JM/WAVE; Rio de Janeiro,,Cite; Montevideo 5282; Reference; Santiago 5331,Classified Message; Secret; For file:,499
Date Filed; 16 Aug 65,Manuel ESTEVEZ Perez,,,AMMUG/1 queried for any information on Manuel ESTEVEZ Perez and was unable to identify the name.; Suggestion that a photograph be sent to KAVE for possible identification.,"CIA (Central Intelligence Agency); Locations; Chief of Station Madrid, Chief of Base Barcelona, Chief of Station JMWAVE.",,"Memo sent from Chief, WH to Chief of Station, Madrid and Barcelona, and Chief of Station, JMWAVE.",Classified as 'SECRET.'; Some text redacted or obscured.,500
30 September (year not legible),Gin S. Gilliland; Dalton; Cuban Defector (name redacted),,,"A Cuban officer was seen alone and with another individual.; The individual, possibly Dalton, held the same position as a prior reference, denied knowledge about Cuban intel, and; requested release and exile.",CIA; Reference to Cuba,,"Communication to DDP WH/EAR, CI/WH/3; Involved a classified message","Document classified as ""SECRET""; Certain portions are redacted; For file:",501
,Salvadoran Asset; President; Dalton; CIA Officer,,,Reference to matters discussed on the night of 25 September.; Concerns regarding discussions with the President.; Mentioned confinement to solitary.,SALV; Cuban Defector; Cuban Exile,,Discussions and plans involving a Salvadoran Asset and President.; Communication with a CIA Officer regarding plans.,"Document marked as ""SECRET""; Various redactions present.; For file:",502
13 July 1964,,,,,"Cuban Intelligence; Chief of Station, London; COS, Germany",,Transmittal of debriefing report via official channels to various stations.,"Document marked as ""SECRET""; Several sections are redacted.; For file:; I can't analyze the attached image or extract any details from it.; For file:",503
Date Distributed; 8 May 1960,Charles J. Beckman,,,,,,,Secret; For file:,504
"Oct 24, 1961; Oct 23, 1961",Andre,,,,London,,,Secret; For file:,505
DOI October 1961; 24 October 1961; Date Distributed; 24 October 1961,Manolo Ray,,,Statements of Manolo Ray,England London; Official British Service; Caracas,,Source with good contacts among exiles in Caracas,Secret; For file:,506
21 October 1961; October 1961; 28 October 1961,Manolo Ray,,,"Manolo Ray stated in early October his opposition to the invasion of Cuba, advocating for Castro's overthrow through; internal resistance.; Ray estimated that 80% of the population were opposed to Castro.",,,None extracted.,"Document marked as ""SECRET""; For file:",507
15 August 1963; 26 July 1963; Late August 1963; 4 October 1963 (Date Typed); 11 October 1963 (Date Dispatched),Santiago Sanchez de la Torre; Angel Bencomo,,,"Debriefing report on Santiago Sanchez de la Torre.; Subject arrived via Mexico in late August 1963.; Information regarding MRR roll up in May 1963.; Attachment ""A"" lists friends employed in Cuban power plants.; Attachment ""B"" includes debriefing on Angel Bencomo.",JM/WAVE (a CIA station); Mexico; Cuba,,None recorded.,"Document is classified as ""SECRET.""; For file:",508
,Carlos Manuel Pena - Auxiliar of Superintendent,,,May be throw a bomb; He can give good information; (Note; No other details could be extracted from the provided image.); For file:; I can't extract details from the image provided.,,,,,509
1955-1962; Mid 1962,Casasin,,,Casasin went overseas in mid-1962.,Casasin's (P) Personnel Folder,,,For file:,510
"Document creation date; 6 Jan 1955; Effective date for action; 16 Jan 1955; Date posted; Jan 17, 1955",No specific names discernible (partially redacted or unclear).,,,"Notification of personnel action affecting employment, with a promotion involved.; Medical clearance required prior to being sent overseas.","Central Intelligence Agency (CIA); Far East Area, Japan; Office of the Chief; Headquarters; Tokyo, Japan; Washington, D.C.",,The form does not specify individual communication exchanges.,,511
Last Within-Grade Increase (LWGI) Date; 07/08/62; Previous LWGI Date; 01/08/61,"Name; Redacted (indicated as ""Cassin"")",,,"Pay change notification documented.; Grade and salary adjustments noted from GS 14, Step 5 to GS 14, Step 6, with salary increase from $13,250 to; $13,510.",Cost Center Number; 60 300,,Document involves administrative communication regarding employee pay and status.,"Document classified as ""SECRET""; Name redacted for security or privacy.; For file:",512
,Robert W. ___________; J.W. ____________________; Billy Sheffield,,,Transfer to confidential funds noted; $8600.00,"DDP/SR; Far East Area; Office of the Chief; Tokyo, Japan; Washington, D.C.",,N/A,Potential redacted names or information within the document content.; For file:,513
Date of notice; 28 AUG 1959,"A name partially redacted, ""Cancini"" is visible.",,,"An official disability claim is filed for an illness, injury, or death incurred on ""7 Dec 1950.""","Casualty Affairs Branch, Benefits and Casualty Division, Office of Personnel",,None,"Document marked as ""SECRET""; Redacted sections present; For file:",514
,,,,,,,,For file:,515
